1621789281.5456643, -0.09, 0.919, -0.012
1621789281.546571, -0.086, 0.943, 0.029
1621789281.5474765, -0.074, 0.887, 0.071
1621789281.548383, -0.109, 0.891, 0.052
1621789281.5492895, -0.094, 0.935, 0.029
1621789281.5501955, -0.034, 0.915, 0.016
1621789281.5511017, -0.031, 0.885, 0.024
1621789281.5520074, -0.084, 0.91, 0.027
1621789281.5529134, -0.084, 0.91, 0.027
1621789281.5538192, -0.088, 0.944, 0.04
1621789281.5547264, -0.056, 0.889, 0.06
1621789281.5556319, -0.062, 0.901, 0.052
1621789281.5565386, -0.085, 0.932, 0.026
1621789281.5574446, -0.079, 0.906, 0.018
1621789281.5583503, -0.102, 0.907, 0.036
1621789281.5592558, -0.086, 0.928, 0.051
1621789281.5601614, -0.027, 0.911, 0.063
1621789281.5610669, -0.042, 0.892, 0.049
1621789281.561973, -0.075, 0.93, 0.021
1621789281.562879, -0.075, 0.93, 0.021
1621789281.5637887, -0.079, 0.928, 0.012
1621789281.5646956, -0.077, 0.897, 0.036
1621789281.5656013, -0.097, 0.897, 0.026
1621789281.5665073, -0.082, 0.934, 0.047
1621789281.5674124, -0.052, 0.906, 0.075
1621789281.5683174, -0.074, 0.898, 0.041
1621789281.5692232, -0.088, 0.937, 0.01
1621789281.5701292, -0.058, 0.899, 0.016
1621789281.571036, -0.041, 0.881, 0.044
1621789281.5719423, -0.067, 0.925, 0.053
1621789281.5728476, -0.077, 0.941, 0.053
1621789281.5737534, -0.077, 0.941, 0.053
1621789281.574717, -0.092, 0.908, 0.027
1621789281.5756297, -0.091, 0.916, 0.019
1621789281.5765386, -0.055, 0.919, 0.026
1621789281.5774453, -0.05, 0.892, 0.052
1621789281.5783513, -0.079, 0.899, 0.053
1621789281.5792568, -0.086, 0.938, 0.072
1621789281.5801632, -0.059, 0.923, 0.057
1621789281.5810688, -0.046, 0.897, 0.018
1621789281.5819743, -0.062, 0.913, 0.006
1621789281.5828803, -0.077, 0.918, 0.018
1621789281.583785, -0.103, 0.902, 0.059
1621789281.5846918, -0.103, 0.902, 0.059
